Year,Month,Quarter,Team,Amount,Count
2018,5,2,Marketplace,5298732.91,0
2018,4,2,CorpFoundation,3192459,25
2018,4,2,Marketplace,5350169.65,0
2018,3,1,CorpFoundation,29068721.41,16
2018,3,1,Marketplace,5037252.04,0
2018,2,1,CorpFoundation,3545906.97,19
2018,2,1,Marketplace,4185883.54,0
2018,1,1,CorpFoundation,4055901,27
2018,1,1,Marketplace,6638712.14,0
2017,12,4,CorpFoundation,4003452.39,39
2017,12,4,Marketplace,7585139.21,0
2017,11,4,CorpFoundation,5099125.27,46
2017,11,4,Marketplace,6198861.64,0
2017,10,4,CorpFoundation,3078395.77,37
2017,10,4,Marketplace,6276097.41,0
2017,9,3,CorpFoundation,4733793.95,47
2017,9,3,Marketplace,6927547.71,0
2017,8,3,CorpFoundation,5748580.54,35
2017,8,3,Marketplace,8738706.6,0
2017,7,3,CorpFoundation,17762440.78,28
2017,7,3,Marketplace,4497329.83,0
2017,6,2,CorpFoundation,3250408,15
2017,6,2,Marketplace,2566543.97,0
2017,5,2,CorpFoundation,3631130.95,20
2017,5,2,Marketplace,3129323.21,0
2017,4,2,CorpFoundation,3376850,15
2017,4,2,Marketplace,3066800.54,0
2017,3,1,CorpFoundation,2823075.18,20
2017,3,1,Marketplace,6454384.1,0
2017,2,1,CorpFoundation,728499.97,20
2017,2,1,Marketplace,5207680.94,0
2017,1,1,CorpFoundation,1826385.19,31
2017,1,1,Marketplace,4824229.71,0
2016,12,4,CorpFoundation,8304714.9,27
2016,12,4,Government,25000,1
2016,12,4,Marketplace,7658554.3,0
2016,11,4,CorpFoundation,7806677.98,30
2016,11,4,Marketplace,5719204.31,0
2016,10,4,CorpFoundation,4855202.75,30
2016,10,4,Marketplace,4967350.43,0
2016,9,3,CorpFoundation,5159493.6,34
2016,9,3,Marketplace,7112030.92,0
2016,8,3,CorpFoundation,2250620.12,28
2016,8,3,Marketplace,8008300.57,0
2016,7,3,CorpFoundation,17663530.51,45
2016,7,3,Marketplace,3536166.93,0
2016,6,2,CorpFoundation,234541.92,7
2016,6,2,Marketplace,2208887.14,0
2016,5,2,CorpFoundation,3176475,15
2016,5,2,Marketplace,2710640.5,0
2016,4,2,CorpFoundation,796766,9
2016,4,2,Marketplace,2811967.24,0
2016,3,1,CorpFoundation,6584810.18,34
2016,3,1,Marketplace,5369188.01,0
2016,2,1,CorpFoundation,7492541.4,36
2016,2,1,Marketplace,3470036.96,0
2016,1,1,CorpFoundation,3504093.68,30
2016,1,1,Marketplace,2986226.05,0
2015,12,4,CorpFoundation,1922023.36,33
2015,12,4,Marketplace,7181432.61,0
2015,11,4,CorpFoundation,4654341.89,44
2015,11,4,Marketplace,3797281.54,0
2015,10,4,CorpFoundation,3965950.28,49
2015,10,4,Marketplace,3991745.13,0
2015,9,3,CorpFoundation,6918680.57,34
2015,9,3,Marketplace,5481107.72,0
2015,8,3,CorpFoundation,13796495.56,30
2015,8,3,Marketplace,5340405.59,0
2015,7,3,CorpFoundation,5398046.58,46
2015,7,3,Marketplace,2157699.58,0
