Year,Month,Quarter,Team,Amount,Count
2023,2,1,Marketplace,4698581.68,0
2023,1,1,Marketplace,4925775.7,0
2022,12,4,Marketplace,6886709.48,0
2022,11,4,Marketplace,9578773.57,0
2022,10,4,Marketplace,6498895.2,0
2022,9,3,Marketplace,8633910.63,0
2022,8,3,Marketplace,13966573.32,0
2022,7,3,Marketplace,4899031.74,0
2022,6,2,Marketplace,3284201.87,0
2022,5,2,Marketplace,7630491.15,0
2022,4,2,Marketplace,5884416.8,0
2022,3,1,Marketplace,5480223.19,0
2022,2,1,Marketplace,6049615.28,0
2022,1,1,Marketplace,5812682.12,0
2021,12,4,Marketplace,8447466.01,0
2021,11,4,Marketplace,8369348.53,0
2021,10,4,Marketplace,6815209.57,0
2021,9,3,Marketplace,9632678.77,0
2021,8,3,Marketplace,11958240.8,0
2021,7,3,Marketplace,4268064.98,0
2021,6,2,Marketplace,2479832.61,0
2021,5,2,Marketplace,6401473.08,0
2021,4,2,Marketplace,3469831.29,0
2021,3,1,Marketplace,5581184.62,0
2021,2,1,Marketplace,4462995.45,0
2021,1,1,Marketplace,3874594.58,0
2020,12,4,Marketplace,10345337.32,0
2020,11,4,Marketplace,4244297.88,0
2020,10,4,Marketplace,5737878.09,0
2020,9,3,Marketplace,10031603.38,0
2020,8,3,Marketplace,12443143,0
2020,7,3,Marketplace,4840107.11,0
2020,6,2,Marketplace,3769673.17,0
2020,5,2,Marketplace,7142500.85,0
2020,4,2,Marketplace,2399987.96,0
2020,3,1,Marketplace,5967880.5,0
2020,2,1,Marketplace,4733420.66,0
2020,1,1,Marketplace,5543923.47,0
2019,12,4,Marketplace,11913999.65,0
2019,11,4,Marketplace,5410301,0
2019,10,4,Marketplace,6595496.17,0
2019,9,3,Marketplace,6599169.5,0
2019,8,3,Marketplace,15386596.04,0
2019,7,3,Marketplace,5091039.83,0
2019,6,2,Marketplace,3233094.19,0
2019,5,2,Marketplace,6504638.78,0
2019,4,2,Marketplace,4344794.88,0
2019,3,1,Marketplace,4521431.23,0
2019,2,1,Marketplace,6446953.87,0
2019,1,1,Marketplace,5341860.66,0
2018,12,4,Marketplace,7528641.58,0
2018,11,4,Marketplace,6731845.54,0
2018,10,4,Marketplace,6757569.04,0
2018,9,3,Marketplace,8352354.58,0
2018,8,3,Marketplace,12692207.22,0
2018,7,3,Marketplace,5495432.76,0
2018,6,2,Marketplace,3488946.95,0
2018,5,2,Marketplace,5298732.91,0
2018,4,2,Marketplace,5350169.65,0
2018,3,1,Marketplace,5037252.04,0
2018,2,1,Marketplace,4185883.54,0
2018,1,1,Marketplace,6638712.14,0
2017,12,4,Marketplace,7585139.21,0
2017,11,4,Marketplace,6198861.64,0
2017,10,4,Marketplace,6276097.41,0
2017,9,3,Marketplace,6927547.71,0
2017,8,3,Marketplace,8738706.6,0
2017,7,3,Marketplace,4497329.83,0
2017,6,2,Marketplace,2566543.97,0
2017,5,2,Marketplace,3129323.21,0
2017,4,2,Marketplace,3066800.54,0
2017,3,1,Marketplace,6454384.1,0
2017,2,1,Marketplace,5207680.94,0
2017,1,1,Marketplace,4824229.71,0
2016,12,4,Marketplace,7658554.3,0
2016,11,4,Marketplace,5719204.31,0
2016,10,4,Marketplace,4967350.43,0
2016,9,3,Marketplace,7112030.92,0
2016,8,3,Marketplace,8008300.57,0
2016,7,3,Marketplace,3536166.93,0
2016,6,2,Marketplace,2208887.14,0
2016,5,2,Marketplace,2710640.5,0
2016,4,2,Marketplace,2811967.24,0
2016,3,1,Marketplace,5369188.01,0
2016,2,1,Marketplace,3470036.96,0
2016,1,1,Marketplace,2986226.05,0
2015,12,4,Marketplace,7181432.61,0
2015,11,4,Marketplace,3797281.54,0
2015,10,4,Marketplace,3991745.13,0
2015,9,3,Marketplace,5481107.72,0
2015,8,3,Marketplace,5340405.59,0
2015,7,3,Marketplace,2157699.58,0
2015,6,2,Marketplace,1674697.67,0
2015,5,2,Marketplace,2292353.84,0
2015,4,2,Marketplace,2318613.65,0
2015,3,1,Marketplace,2732587.59,0
2015,2,1,Marketplace,2886764.18,0
2015,1,1,Marketplace,2882846.45,0
2014,12,4,Marketplace,5965252.72,0
2014,11,4,Marketplace,2838108.89,0
2014,10,4,Marketplace,3405044.11,0
2014,9,3,Marketplace,4338644.07,0
2014,8,3,Marketplace,5152750.6,0
2014,7,3,Marketplace,1618105.03,0
2014,6,2,Marketplace,1241881.4,0
2014,5,2,Marketplace,1640348.04,0
2014,4,2,Marketplace,1825889.02,0
2014,3,1,Marketplace,2883164.79,0
2014,2,1,Marketplace,2200351.09,0
2014,1,1,Marketplace,2137356.45,0
2013,12,4,Marketplace,4268022.51,0
2013,11,4,Marketplace,2727411.24,0
2013,10,4,Marketplace,2617331.66,0
2013,9,3,Marketplace,3221739.35,0
2013,8,3,Marketplace,2449234.25,0
2013,7,3,Marketplace,1451567.16,0
2013,6,2,Marketplace,1101757.67,0
2013,5,2,Marketplace,1910100.58,0
2013,4,2,Marketplace,1447892.23,0
2013,3,1,Marketplace,1527312.61,0
2013,2,1,Marketplace,1985802.28,0
2013,1,1,Marketplace,1448966.85,0
2012,12,4,Marketplace,3631335.95,0
2012,11,4,Marketplace,1449800.66,0
2012,10,4,Marketplace,2424987.42,0
2012,9,3,Marketplace,1657104.59,0
2012,8,3,Marketplace,1211674.89,0
2012,7,3,Marketplace,599119.36,0
2012,6,2,Marketplace,544588.07,0
2012,5,2,Marketplace,916392.21,0
2012,4,2,Marketplace,1040097.98,0
2012,3,1,Marketplace,1961934.67,0
2012,2,1,Marketplace,1374678.79,0
2012,1,1,Marketplace,1131903.63,0
2011,12,4,Marketplace,3499871.08,0
2011,11,4,Marketplace,1181593.58,0
2011,10,4,Marketplace,1069403.38,0
2011,9,3,Marketplace,1077991.41,0
2011,8,3,Marketplace,1355730.26,0
2011,7,3,Marketplace,555317.96,0
2011,6,2,Marketplace,499940.38,0
2011,5,2,Marketplace,709077.68,0
2011,4,2,Marketplace,949433.93,0
2011,3,1,Marketplace,1129024.62,0
2011,2,1,Marketplace,998485.55,0
2011,1,1,Marketplace,907438.87,0
2010,12,4,Marketplace,2592851.47,0
2010,11,4,Marketplace,1013795.04,0
2010,10,4,Marketplace,1505193.65,0
2010,9,3,Marketplace,1259243.32,0
2010,8,3,Marketplace,735895.41,0
2010,7,3,Marketplace,364333.47,0
2010,6,2,Marketplace,284873.92,0
2010,5,2,Marketplace,366967.08,0
2010,4,2,Marketplace,522880.89,0
2010,3,1,Marketplace,748570.62,0
2010,2,1,Marketplace,610420.23,0
2010,1,1,Marketplace,717147.92,0
2009,12,4,Marketplace,2221249.87,0
2009,11,4,Marketplace,695964.29,0
2009,10,4,Marketplace,878343.24,0
2009,9,3,Marketplace,801210.34,0
2009,8,3,Marketplace,704170.1,0
2009,7,3,Marketplace,295776.65,0
2009,6,2,Marketplace,298555.61,0
2009,5,2,Marketplace,443688.11,0
2009,4,2,Marketplace,422385.51,0
2009,3,1,Marketplace,482520.02,0
2009,2,1,Marketplace,489371.9,0
2009,1,1,Marketplace,408688.58,0
2008,12,4,Marketplace,1625120.66,0
2008,11,4,Marketplace,539358.3,0
2008,10,4,Marketplace,608807.31,0
2008,9,3,Marketplace,551796.68,0
2008,8,3,Marketplace,418952.88,0
2008,7,3,Marketplace,282315.14,0
2008,6,2,Marketplace,277547.2,0
2008,5,2,Marketplace,340542,0
2008,4,2,Marketplace,520117.68,0
2008,3,1,Marketplace,555300.05,0
2008,2,1,Marketplace,436025.69,0
2008,1,1,Marketplace,551276.55,0
2007,12,4,Marketplace,1599971.42,0
2007,11,4,Marketplace,649444.4,0
2007,10,4,Marketplace,675121.7,0
2007,9,3,Marketplace,338781.87,0
2007,8,3,Marketplace,288936.59,0
2007,7,3,Marketplace,291642.58,0
2007,6,2,Marketplace,486255.4,0
2007,5,2,Marketplace,314235.68,0
2007,4,2,Marketplace,478521.27,0
